Oda_Sayisi,Brut,Net,Bulundugu_Kat,Bina_Yas,Isitma_Tipi,Kat_sayisi,Kullanim_Durumu,Ilce,Fiyat
2+1,80,75,Yarı Bodrum,21 Ve Üzeri,Isıtma Yok,3,Boş,Fatih,"6,500"
1+1,61,50,4,5-10,Merkezi Doğalgaz,14,Boş,Tuzla,"7,500"
1+1,75,55,8,1,Merkezi (Pay Ölçer),11,Boş,Kağıthane,"19,000"
2+1,85,80,5,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Üsküdar - Valide,"9,000"
2+1,100,90,4,4,Kombi Doğalgaz,5,Boş,Maltepe,"20,000"
1+1,45,35,12,21 Ve Üzeri,Merkezi Doğalgaz,14,Boş,Bakırköy - Ataköy 7-8-9,"12,500"
1+1,72,55,28,5-10,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"25,000"
2+1,95,90,Yüksek Giriş,5-10,Kombi Doğalgaz,5,Boş,Bahçelievler,"7,500"
3+1,135,120,Yüksek Giriş,5-10,Kombi Doğalgaz,6,Boş,Başakşehir,"10,500"
2+1,85,75,3,5-10,Kombi Doğalgaz,5,Boş,Şişli,"12,500"
1+1,45,30,6,5-10,Merkezi (Pay Ölçer),15,Boş,Zeytinburnu,"11,500"
1+1,65,60,3,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Bayrampaşa,"7,000"
4+2,450,425,Villa Tipi,5-10,Kombi Doğalgaz,4,Boş,Büyükçekmece,"20,000"
3+1,150,128,5,11-15,Kombi Doğalgaz,10,Boş,Esenyurt,"11,000"
2+1,140,110,10,4,Merkezi (Pay Ölçer),42,Mülk Sahibi Oturuyor,Sarıyer,"40,000"
1+1,65,59,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"6,000"
2+1,120,108,3,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"7,500"
3+1,130,100,3,21 Ve Üzeri,Merkezi Doğalgaz,6,Boş,Kadıköy,"13,000"
2+1,140,130,Müstakil,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Üsküdar,"18,000"
1+1,70,60,Bahçe Katı,5-10,Kombi Doğalgaz,4,Boş,Maltepe,"6,000"
Stüdyo,60,45,5,5-10,Merkezi (Pay Ölçer),20,Boş,Beylikdüzü,"5,000"
3+1,140,125,3,11-15,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"27,500"
1+1,95,80,3,11-15,Kombi Doğalgaz,5,Boş,Arnavutköy,"4,500"
1+1,57,47,2,11-15,Merkezi Doğalgaz,5,Boş,Küçükçekmece,"10,000"
2+1,103,101,2,11-15,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Avcılar,"4,800"
1+1,60,50,8,2,Kombi Doğalgaz,10,Boş,Esenyurt,"7,000"
3+1,140,110,14,2,Kombi Doğalgaz,14,Boş,Küçükçekmece,"30,000"
1+1,44,30,9,5-10,Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Kağıthane,"9,500"
Stüdyo,47,38,8,5-10,Merkezi Doğalgaz,11,Boş,Esenyurt,"6,500"
3+1,200,180,4,5-10,Kombi Doğalgaz,6,Boş,Kartal,"7,000"
1+1,55,45,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Büyükçekmece,"4,500"
1+1,62,47,13,5-10,Merkezi (Pay Ölçer),26,Kiracı Oturuyor,Bağcılar,"10,000"
1+1,50,45,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"4,600"
1+1,80,75,Bahçe Katı,11-15,Kombi Doğalgaz,5,Boş,Bayrampaşa,"6,000"
3+1,145,125,10,21 Ve Üzeri,Kombi Doğalgaz,13,Boş,Zeytinburnu,"15,000"
2+1,100,90,Bahçe Katı,4,Kombi Doğalgaz,5,Kiracı Oturuyor,Esenyurt,"4,500"
3+1,140,125,4,11-15,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Ümraniye,"3,500"
2+1,105,90,3,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Kağıthane,"6,500"
2+1,101,90,2,5-10,Merkezi (Pay Ölçer),17,Boş,Esenyurt,"10,000"
2+1,110,100,3,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Sarıyer,"20,000"
2+1,85,75,2,11-15,Kombi Doğalgaz,5,Boş,Kağıthane,"12,000"
2+1,110,100,3,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Sarıyer,"20,000"
4+1,170,145,5,3,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Kağıthane,"21,000"
1.5+1,70,65,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Kağıthane,"7,500"
1+1,89,75,24,5-10,Merkezi (Pay Ölçer),25,Boş,Gaziosmanpaşa,"13,500"
2+1,125,120,3,5-10,Kombi Doğalgaz,5,Kiracı Oturuyor,Bağcılar,"5,000"
3+1,120,115,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"14,000"
2+1,92,80,3,16-20,Kombi Doğalgaz,3,Boş,Kartal,"10,000"
1+1,55,40,2,5-10,Merkezi (Pay Ölçer),11,Boş,Çekmeköy,"7,000"
4+1,440,400,Düz Giriş,16-20,Kombi Doğalgaz,2,Boş,Silivri,"37,000"
3+1,140,130,3,11-15,Kombi Doğalgaz,4,Kiracı Oturuyor,Ataşehir,"14,500"
1+1,70,65,1,1,Kombi Doğalgaz,5,Boş,Şişli,"8,500"
3+1,120,110,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"10,000"
3+1,120,110,Yüksek Giriş,11-15,Kombi Doğalgaz,5,Boş,Bahçelievler,"10,000"
3+1,120,110,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"10,000"
2+1,95,85,2,4,Kombi Doğalgaz,2,Boş,Küçükçekmece,"8,250"
3+1,130,120,1,5-10,Kombi Doğalgaz,1,Kiracı Oturuyor,Bahçelievler,"12,000"
3+1,130,120,1,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Zeytinburnu,"11,000"
3+1,220,200,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Silivri,"8,000"
2+1,105,95,2,4,Kombi Doğalgaz,4,Boş,Sancaktepe,"8,000"
1+1,65,60,8,5-10,Merkezi Doğalgaz,14,Boş,Küçükçekmece,"8,500"
3+1,140,130,Bahçe Katı,5-10,Kombi Doğalgaz,6,Boş,Şişli,"23,000"
3+1,175,160,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"18,000"
2+1,100,90,1,5-10,Kombi Doğalgaz,5,Boş,Ümraniye,"10,000"
2+1,85,80,4,11-15,Kombi Doğalgaz,4,Boş,Üsküdar - Valide,"8,750"
3+1,140,130,3,3,Kombi Doğalgaz,4,Boş,Silivri,"5,000"
1+1,60,50,5,5-10,Kombi Doğalgaz,5,Boş,Maltepe,"10,000"
1+1,50,40,Kot 2 (-2),4,Kombi Doğalgaz,5,Boş,Kağıthane,"6,500"
2+1,130,100,1,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Kadıköy,"14,500"
1+1,75,65,21,0 (Yeni),Merkezi (Pay Ölçer),30,Boş,Bağcılar,"15,000"
2+1,110,100,3,5-10,Merkezi (Pay Ölçer),27,Boş,Esenyurt,"8,000"
3+1,168,136,10,1,Kombi Doğalgaz,19,Boş,Avcılar,"25,000"
2+1,126,102,7,5-10,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"12,500"
2+1,136,112,9,11-15,Merkezi (Pay Ölçer),17,Boş,Esenyurt,"15,000"
2+1,101,75,4,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Şişli,"20,000"
3+1,160,150,3,16-20,Kombi Doğalgaz,5,Boş,Avcılar,"8,000"
3+1,125,120,2,5-10,Kombi Doğalgaz,4,Boş,Bahçelievler,"17,000"
1+1,74,65,9,5-10,Merkezi (Pay Ölçer),18,Kiracı Oturuyor,Küçükçekmece,"8,000"
2+1,157,123,20,5-10,Merkezi (Pay Ölçer),23,Boş,Küçükçekmece,"19,500"
Stüdyo,40,35,3,16-20,Kombi Doğalgaz,3,Boş,Beşiktaş,"10,000"
3+1,145,120,8,16-20,Kombi Doğalgaz,14,Boş,Esenyurt,"12,000"
2+1,120,100,10,1,Kombi Doğalgaz,11,Mülk Sahibi Oturuyor,Esenyurt,"20,000"
2+1,125,110,5,16-20,Kombi Doğalgaz,6,Boş,Güngören,"9,500"
2+1,100,90,Yüksek Giriş,16-20,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Küçükçekmece,"8,500"
2+1,120,100,2,5-10,Kombi Doğalgaz,8,Boş,Kadıköy,"7,500"
2+1,80,75,3,11-15,Kombi Doğalgaz,4,Boş,Ataşehir,"9,500"
Stüdyo,70,60,3,5-10,Merkezi (Pay Ölçer),25,Boş,Esenyurt,"6,000"
2+1,65,55,Kot 1 (-1),21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Şişli,"12,000"
1+1,90,80,2,16-20,Kombi Doğalgaz,3,Boş,Sarıyer,"8,500"
4+1,200,150,1,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Üsküdar,"8,500"
1+1,70,60,2,0 (Yeni),Merkezi (Pay Ölçer),17,Boş,Başakşehir,"10,000"
2+1,110,100,Bahçe Katı,11-15,Kombi Doğalgaz,4,Boş,Büyükçekmece,"4,500"
2+1,90,80,Yüksek Giriş,5-10,Kombi Doğalgaz,4,Boş,Ataşehir,"9,750"
2+1,75,70,3,3,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Küçükçekmece,"6,000"
3+1,120,110,Yüksek Giriş,11-15,Kombi Doğalgaz,5,Boş,Bahçelievler,"10,000"
1+1,55,50,2,5-10,Merkezi Doğalgaz,5,Boş,Esenyurt,"4,000"
2+1,140,97,7,2,Merkezi (Pay Ölçer),10,Boş,Sarıyer,"40,000"
1+1,55,44,5,5-10,Merkezi (Pay Ölçer),10,Boş,Esenyurt,"6,000"
3+1,105,90,Yüksek Giriş,21 Ve Üzeri,Merkezi Doğalgaz,5,Boş,Üsküdar,"14,000"
2+1,90,75,3,5-10,Kombi Doğalgaz,4,Boş,Çekmeköy,"8,750"
2+1,147,110,2,5-10,Kombi Doğalgaz,7,Boş,Beylikdüzü,"25,000"
3+1,120,110,1,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Zeytinburnu,"9,500"
4+1,140,130,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"8,000"
1+1,75,60,8,5-10,Merkezi (Pay Ölçer),22,Boş,Bağcılar,"11,000"
3+1,100,98,3,11-15,Kombi Doğalgaz,5,Boş,Kartal,"7,500"
Stüdyo,40,30,Düz Giriş,21 Ve Üzeri,Sobalı,5,Kiracı Oturuyor,Bahçelievler,"5,000"
2+1,80,70,1,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Kadıköy,"15,000"
1+1,60,45,4,5-10,Kombi Doğalgaz,15,Boş,Kağıthane,"17,500"
2+1,101,90,9,5-10,Merkezi (Pay Ölçer),16,Boş,Esenyurt,"11,900"
2+1,100,90,17,5-10,Merkezi (Pay Ölçer),25,Boş,Esenyurt,"10,000"
2+1,100,90,Düz Giriş,5-10,Doğalgaz Sobalı,2,Boş,Başakşehir,"5,000"
Stüdyo,35,34,4,21 Ve Üzeri,Isıtma Yok,4,Boş,Fatih,"5,000"
3+1,130,120,5,21 Ve Üzeri,Kombi Doğalgaz,7,Kiracı Oturuyor,Bahçelievler,"9,000"
2+1,90,80,Bahçe Katı,4,Kombi Doğalgaz,5,Kiracı Oturuyor,Esenyurt,"4,500"
Stüdyo,50,40,Bahçe Katı,1,Kombi Doğalgaz,7,Boş,Şişli,"6,500"
2+1,90,80,2,5-10,Kombi Doğalgaz,4,Boş,Kağıthane,"10,000"
1+1,65,55,5,11-15,Kombi Doğalgaz,5,Boş,Ataşehir,"9,000"
1+1,105,87,25,2,Merkezi (Pay Ölçer),30,Boş,Şişli,"32,500"
1+1,55,50,4,11-15,Kombi Doğalgaz,5,Boş,Şişli,"10,500"
1+1,45,38,11,5-10,Merkezi (Pay Ölçer),16,Boş,Zeytinburnu,"12,500"
1+1,75,55,6,0 (Yeni),Merkezi (Pay Ölçer),16,Boş,Sarıyer,"27,000"
Stüdyo,55,45,3,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Kadıköy,"12,500"
1+1,60,55,Yüksek Giriş,1,Kombi Doğalgaz,4,Boş,Şişli,"9,000"
2+1,95,84,6,5-10,Kombi Doğalgaz,10,Boş,Küçükçekmece,"10,500"
Stüdyo,79,61,2,4,Merkezi (Pay Ölçer),8,Boş,Pendik,"6,000"
2+1,100,85,1,5-10,Kombi Doğalgaz,5,Boş,Kağıthane,"9,000"
2+1,82,80,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Kiracı Oturuyor,Bahçelievler,"7,400"
1+1,75,65,21,0 (Yeni),Merkezi (Pay Ölçer),32,Boş,Bağcılar,"16,000"
2+1,90,80,Çatı Dubleks,5-10,Kombi Doğalgaz,5,Boş,Esenyurt,"5,000"
Stüdyo,40,35,Düz Giriş,21 Ve Üzeri,Isıtma Yok,5,Boş,Bahçelievler,"4,000"
3+1,140,125,4,16-20,Kombi Doğalgaz,4,Boş,Ataşehir,"3,000"
2+1,70,62,2,1,Merkezi Doğalgaz,5,Boş,Kağıthane,"14,000"
1+1,65,60,9,11-15,Merkezi Doğalgaz,14,Boş,Küçükçekmece,"8,900"
1+1,79,50,5,3,Merkezi (Pay Ölçer),6,Boş,Esenyurt,"7,500"
2+1,70,60,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Küçükçekmece,"5,500"
2+1,120,85,4,1,Kombi Doğalgaz,7,Boş,Beylikdüzü,"35,000"
2+1,90,85,3,11-15,Kombi Doğalgaz,5,Boş,Avcılar,"7,000"
1+1,60,50,Çatı Katı,11-15,Kombi Doğalgaz,5,Boş,Kağıthane,"6,000"
2+1,90,75,Düz Giriş,1,Kombi Doğalgaz,3,Boş,Üsküdar,"14,000"
1+1,70,55,13,5-10,Merkezi (Pay Ölçer),27,Boş,Başakşehir,"12,000"
Stüdyo,55,40,1,2,Merkezi (Pay Ölçer),20,Mülk Sahibi Oturuyor,Sarıyer,"16,000"
1+1,41,30,9,4,Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Kağıthane,"9,500"
1+1,82,65,10,5-10,Merkezi Doğalgaz,10,Boş,Esenyurt,"7,000"
1+1,70,55,5,3,Merkezi (Pay Ölçer),25,Boş,Esenyurt,"10,000"
3.5+1,191,170,2,5-10,Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Beylikdüzü,"30,000"
2+1,101,72,6,5-10,Merkezi (Pay Ölçer),19,Boş,Sarıyer,"34,500"
2+1,105,85,10,4,Merkezi (Pay Ölçer),17,Boş,Sarıyer,"35,000"
1+1,85,65,12,4,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"25,000"
1+1,115,110,8,2,Merkezi Doğalgaz,8,Boş,Kağıthane,"20,000"
2+1,136,112,13,11-15,Merkezi (Pay Ölçer),16,Boş,Esenyurt,"15,000"
1 Oda,50,40,Düz Giriş,16-20,Kombi Doğalgaz,3,Boş,Beşiktaş,"12,000"
1+1,90,80,Yüksek Giriş,16-20,Kombi Doğalgaz,4,Boş,Beşiktaş,"25,500"
