0,1,2,3,4,5,6,7,8,9,10
1 + 1,70,50,21 ve üzeri,5,Merkezi (Pay Ölçer),30,Eşyalı,Boş,Sarıyer,"25,000"
2 + 1,109,80,5,Sıfır Bina,Merkezi (Pay Ölçer),14,Eşyalı,Kiracılı,Sarıyer,"35,000"
3 + 1,189,130,5,4,Merkezi (Pay Ölçer),23,Eşyalı,Boş,Eyüpsultan,"35,000"
3 + 1,140,120,En Üst Kat,40,Merkezi (Pay Ölçer),3,Eşyalı Değil,Boş,Kadıköy,"14,000"
4 + 1,220,180,Bahçe Katı,10,Kombi,4,Eşyalı Değil,Boş,Sarıyer,"40,000"
1 + 1,120,100,Bahçe Katı,10,Merkezi,4,Eşyalı Değil,Doğalgaz,Beşiktaş,"30,000"
3 + 1,185,140,9,6,Kombi,9,3,Güney,Kadıköy,"27,000"
1 + 1,75,70,1,20,Kombi,3,Eşyalı Değil,Boş,Büyükçekmece,"3,750"
3 + 1,120,110,2,28,Merkezi,6,Eşyalı Değil,Boş,Beşiktaş,"11,500"
3 + 1,105,100,3,30,Kombi,5,Eşyalı Değil,70,Şişli,"8,500"
2 + 1,90,85,2,28,Kombi,4,Eşyalı Değil,Boş,Zeytinburnu,"7,500"
2 + 1,115,95,5,21,Kombi,5,Eşyalı,Mülk Sahibi,Şişli,"11,250"
4 + 1,260,250,Yüksek Giriş,17,Kombi,4,Eşyalı Değil,Boş,Bakırköy,"35,000"
4 + 1,140,130,4,30,Kombi,5,Eşyalı,Boş,Fatih,"12,500"
2 + 1,90,75,3,16,Kombi,3,Eşyalı Değil,Boş,Bağcılar,"6,000"
1 + 1,60,50,8,Sıfır Bina,Merkezi (Pay Ölçer),11,Eşyalı Değil,Boş,Bayrampaşa,"8,000"
2 + 1,110,89,Ara Kat,4,Kombi,4,Eşyalı Değil,Boş,Sancaktepe,"7,500"
4 + 1,240,220,2,30,Kombi,3,Eşyalı Değil,Boş,Bakırköy,"21,000"
2 + 1,85,80,3,28,Kombi,6,Eşyalı Değil,Boş,Beşiktaş,"13,250"
2 + 1,120,110,Ara Kat,35,Kombi,4,Eşyalı Değil,Boş,Fatih,"11,000"
3 + 1,125,115,3,42,Merkezi (Pay Ölçer),3,Eşyalı Değil,Boş,Beşiktaş,"20,000"
2 + 1,80,75,Giriş Katı,25,Kombi,3,Eşyalı Değil,Boş,Küçükçekmece,"4,100"
3 + 1,130,120,5,30,Merkezi,5,Eşyalı Değil,Boş,Üsküdar,"13,500"
4 + 2,240,220,12,19,Kombi,12,Eşyalı Değil,Mülk Sahibi,Kağıthane,"26,000"
2 + 1,87,80,Ara Kat,10,Kombi,9,Eşyalı,Boş,Beşiktaş,"30,000"
2 + 1,110,100,Ara Kat,4,Kombi,19,Eşyalı Değil,"Kuzey, Güney, Doğu, Batı",Avcılar,"6,000"
2 + 1,100,90,4,32,Merkezi,4,Eşyalı Değil,Boş,Bakırköy,"8,300"
2 + 1,100,90,En Üst Kat,35,Merkezi,4,Eşyalı Değil,Boş,Bakırköy,"8,300"
2 + 1,126,86,11,Sıfır Bina,Merkezi,19,Eşyalı Değil,900,Ümraniye,"20,000"
3 + 1,130,110,Zemin,10,Kombi,5,1,Ataşehir,"7,000",
4 + 1,300,190,Bahçe Katı,10,Kombi,4,Eşyalı,Mülk Sahibi,Sarıyer,"41,500"
3 + 1,150,140,Ara Kat,8,Kombi,4,Eşyalı Değil,Boş,Avcılar,"9,000"
3 + 1,190,156,4,5,Kombi,9,Uygun değil,Mülk Sahibi,Kadıköy,"41,000"
3 + 1,135,125,8,7,Kombi,9,Eşyalı,Boş,Esenyurt,"13,000"
2 + 1,92,70,7,2,Merkezi (Pay Ölçer),7,Eşyalı,Boş,Silivri,"4,500"
